Year,Units,display,sex,age,Bundesland,GeoCode,Value
2003,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,31.2
2004,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,33.2
2005,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,35.9
2006,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,37.7
2007,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,41.2
2008,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,43.2
2009,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,47.0
2010,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,49.4
2011,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,52.4
2012,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,54.9
2013,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,57.7
2014,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,59.4
2015,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,59.1
2016,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,61.5
2017,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,63.7
2018,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,65.4
2019,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,66.6
2010,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,47.0
2011,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,51.3
2012,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,52.6
2013,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,55.9
2014,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,57.6
2015,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,58.8
2016,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,61.9
2017,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,63.8
2018,percentage (%),a) time series,male and female,60 - 64 years,bw,Baden-Württemberg,66.7
2010,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,37.4
2011,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,42.0
2012,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,44.2
2013,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,48.6
2014,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,50.4
2015,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,52.9
2016,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,56.0
2017,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,57.7
2018,percentage (%),a) time series,female,60 - 64 years,bw,Baden-Württemberg,60.7
2010,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,56.8
2011,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,60.9
2012,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,61.5
2013,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,64.0
2014,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,65.5
2015,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,65.2
2016,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,67.9
2017,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,70.3
2018,percentage (%),a) time series,male,60 - 64 years,bw,Baden-Württemberg,72.8
2010,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,41.6
2011,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,46.3
2012,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,48.0
2013,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,51.5
2014,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,54.5
2015,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,55.2
2016,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,57.9
2017,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,60.7
2018,percentage (%),a) time series,male and female,60 - 64 years,by,Bayern,62.7
2010,percentage (%),a) time series,female,60 - 64 years,by,Bayern,33.3
2011,percentage (%),a) time series,female,60 - 64 years,by,Bayern,38.5
2012,percentage (%),a) time series,female,60 - 64 years,by,Bayern,40.4
2013,percentage (%),a) time series,female,60 - 64 years,by,Bayern,43.7
2014,percentage (%),a) time series,female,60 - 64 years,by,Bayern,47.4
2015,percentage (%),a) time series,female,60 - 64 years,by,Bayern,48.9
2016,percentage (%),a) time series,female,60 - 64 years,by,Bayern,51.4
2017,percentage (%),a) time series,female,60 - 64 years,by,Bayern,54.9
2018,percentage (%),a) time series,female,60 - 64 years,by,Bayern,57.4
2010,percentage (%),a) time series,male,60 - 64 years,by,Bayern,50.2
2011,percentage (%),a) time series,male,60 - 64 years,by,Bayern,54.2
2012,percentage (%),a) time series,male,60 - 64 years,by,Bayern,55.8
2013,percentage (%),a) time series,male,60 - 64 years,by,Bayern,59.7
2014,percentage (%),a) time series,male,60 - 64 years,by,Bayern,62.0
2015,percentage (%),a) time series,male,60 - 64 years,by,Bayern,61.8
2016,percentage (%),a) time series,male,60 - 64 years,by,Bayern,64.7
2017,percentage (%),a) time series,male,60 - 64 years,by,Bayern,66.7
2018,percentage (%),a) time series,male,60 - 64 years,by,Bayern,68.4
2010,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,39.1
2011,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,40.6
2012,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,46.1
2013,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,48.0
2014,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,50.2
2015,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,53.6
2016,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,55.4
2017,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,58.0
2018,percentage (%),a) time series,male and female,60 - 64 years,be,Berlin,61.8
2010,percentage (%),a) time series,female,60 - 64 years,be,Berlin,35.0
2011,percentage (%),a) time series,female,60 - 64 years,be,Berlin,37.1
2012,percentage (%),a) time series,female,60 - 64 years,be,Berlin,42.2
2013,percentage (%),a) time series,female,60 - 64 years,be,Berlin,44.0
2014,percentage (%),a) time series,female,60 - 64 years,be,Berlin,45.4
2015,percentage (%),a) time series,female,60 - 64 years,be,Berlin,49.4
2016,percentage (%),a) time series,female,60 - 64 years,be,Berlin,51.4
2017,percentage (%),a) time series,female,60 - 64 years,be,Berlin,53.2
2018,percentage (%),a) time series,female,60 - 64 years,be,Berlin,56.6
2010,percentage (%),a) time series,male,60 - 64 years,be,Berlin,43.2
2011,percentage (%),a) time series,male,60 - 64 years,be,Berlin,44.3
2012,percentage (%),a) time series,male,60 - 64 years,be,Berlin,50.6
2013,percentage (%),a) time series,male,60 - 64 years,be,Berlin,52.5
2014,percentage (%),a) time series,male,60 - 64 years,be,Berlin,55.8
2015,percentage (%),a) time series,male,60 - 64 years,be,Berlin,58.1
2016,percentage (%),a) time series,male,60 - 64 years,be,Berlin,59.8
2017,percentage (%),a) time series,male,60 - 64 years,be,Berlin,63.7
2018,percentage (%),a) time series,male,60 - 64 years,be,Berlin,67.5
2010,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,41.1
2011,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,43.0
2012,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,45.8
2013,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,49.9
2014,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,52.3
2015,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,53.5
2016,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,55.8
2017,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,57.3
2018,percentage (%),a) time series,male and female,60 - 64 years,bb,Brandenburg,59.6
2010,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,31.9
2011,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,36.2
2012,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,39.3
2013,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,44.6
2014,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,49.4
2015,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,52.1
2016,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,54.3
2017,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,57.1
2018,percentage (%),a) time series,female,60 - 64 years,bb,Brandenburg,60.1
2010,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,50.2
2011,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,49.7
2012,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,52.3
2013,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,55.4
2014,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,55.4
2015,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,55.1
2016,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,57.3
2017,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,57.5
2018,percentage (%),a) time series,male,60 - 64 years,bb,Brandenburg,59.1
2011,percentage (%),a) time series,male and female,60 - 64 years,hb,Bremen,42.0
2012,percentage (%),a) time series,male and female,60 - 64 years,hb,Bremen,47.3
2013,percentage (%),a) time series,male and female,60 - 64 years,hb,Bremen,56.5
2014,percentage (%),a) time series,male and female,60 - 64 years,hb,Bremen,55.1
2015,percentage (%),a) time series,male and female,60 - 64 years,hb,Bremen,51.9
2016,percentage (%),a) time series,male and female,60 - 64 years,hb,Bremen,57.9
2017,percentage (%),a) time series,male and female,60 - 64 years,hb,Bremen,58.9
2018,percentage (%),a) time series,male and female,60 - 64 years,hb,Bremen,60.6
2011,percentage (%),a) time series,female,60 - 64 years,hb,Bremen,37.2
2012,percentage (%),a) time series,female,60 - 64 years,hb,Bremen,38.7
2013,percentage (%),a) time series,female,60 - 64 years,hb,Bremen,52.8
2014,percentage (%),a) time series,female,60 - 64 years,hb,Bremen,50.8
2015,percentage (%),a) time series,female,60 - 64 years,hb,Bremen,48.8
2016,percentage (%),a) time series,female,60 - 64 years,hb,Bremen,52.0
2017,percentage (%),a) time series,female,60 - 64 years,hb,Bremen,52.9
2018,percentage (%),a) time series,female,60 - 64 years,hb,Bremen,55.4
2011,percentage (%),a) time series,male,60 - 64 years,hb,Bremen,46.6
2012,percentage (%),a) time series,male,60 - 64 years,hb,Bremen,56.1
2013,percentage (%),a) time series,male,60 - 64 years,hb,Bremen,60.2
2014,percentage (%),a) time series,male,60 - 64 years,hb,Bremen,59.2
2015,percentage (%),a) time series,male,60 - 64 years,hb,Bremen,55.1
2016,percentage (%),a) time series,male,60 - 64 years,hb,Bremen,65.2
2017,percentage (%),a) time series,male,60 - 64 years,hb,Bremen,65.8
2018,percentage (%),a) time series,male,60 - 64 years,hb,Bremen,66.0
2010,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,45.0
2011,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,43.5
2012,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,46.6
2013,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,51.0
2014,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,55.5
2015,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,54.3
2016,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,57.3
2017,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,59.0
2018,percentage (%),a) time series,male and female,60 - 64 years,hh,Hamburg,63.7
2010,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,35.7
2011,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,36.2
2012,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,40.7
2013,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,45.6
2014,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,51.5
2015,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,51.2
2016,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,52.6
2017,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,55.4
2018,percentage (%),a) time series,female,60 - 64 years,hh,Hamburg,59.6
2010,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,55.3
2011,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,51.4
2012,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,53.1
2013,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,57.3
2014,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,60.1
2015,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,57.9
2016,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,62.2
2017,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,63.2
2018,percentage (%),a) time series,male,60 - 64 years,hh,Hamburg,68.6
2010,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,40.6
2011,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,43.5
2012,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,45.7
2013,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,49.9
2014,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,51.8
2015,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,52.3
2016,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,57.2
2017,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,58.8
2018,percentage (%),a) time series,male and female,60 - 64 years,he,Hessen,60.4
2010,percentage (%),a) time series,female,60 - 64 years,he,Hessen,33.9
2011,percentage (%),a) time series,female,60 - 64 years,he,Hessen,36.0
2012,percentage (%),a) time series,female,60 - 64 years,he,Hessen,38.0
2013,percentage (%),a) time series,female,60 - 64 years,he,Hessen,41.9
2014,percentage (%),a) time series,female,60 - 64 years,he,Hessen,45.0
2015,percentage (%),a) time series,female,60 - 64 years,he,Hessen,46.5
2016,percentage (%),a) time series,female,60 - 64 years,he,Hessen,51.2
2017,percentage (%),a) time series,female,60 - 64 years,he,Hessen,52.3
2018,percentage (%),a) time series,female,60 - 64 years,he,Hessen,54.1
2010,percentage (%),a) time series,male,60 - 64 years,he,Hessen,48.0
2011,percentage (%),a) time series,male,60 - 64 years,he,Hessen,51.5
2012,percentage (%),a) time series,male,60 - 64 years,he,Hessen,53.9
2013,percentage (%),a) time series,male,60 - 64 years,he,Hessen,58.0
2014,percentage (%),a) time series,male,60 - 64 years,he,Hessen,59.4
2015,percentage (%),a) time series,male,60 - 64 years,he,Hessen,58.9
2016,percentage (%),a) time series,male,60 - 64 years,he,Hessen,63.1
2017,percentage (%),a) time series,male,60 - 64 years,he,Hessen,65.6
2018,percentage (%),a) time series,male,60 - 64 years,he,Hessen,66.8
2010,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,37.1
2011,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,38.8
2012,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,40.3
2013,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,42.2
2014,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,43.7
2015,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,46.5
2016,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,50.0
2017,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,50.1
2018,percentage (%),a) time series,male and female,60 - 64 years,mv,Mecklenburg-Vorpommern,50.8
2010,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,29.6
2011,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,33.2
2012,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,32.3
2013,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,37.1
2014,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,39.0
2015,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,41.9
2016,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,49.2
2017,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,50.2
2018,percentage (%),a) time series,female,60 - 64 years,mv,Mecklenburg-Vorpommern,47.0
2010,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,45.5
2011,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,44.5
2012,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,49.1
2013,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,47.8
2014,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,48.6
2015,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,51.0
2016,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,50.9
2017,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,50.0
2018,percentage (%),a) time series,male,60 - 64 years,mv,Mecklenburg-Vorpommern,55.0
2010,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,40.2
2011,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,44.1
2012,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,47.3
2013,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,49.9
2014,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,53.5
2015,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,53.5
2016,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,56.1
2017,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,58.7
2018,percentage (%),a) time series,male and female,60 - 64 years,ni,Niedersachsen,61.0
2010,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,32.0
2011,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,36.7
2012,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,39.7
2013,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,42.5
2014,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,47.0
2015,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,48.7
2016,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,49.1
2017,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,52.7
2018,percentage (%),a) time series,female,60 - 64 years,ni,Niedersachsen,56.9
2010,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,48.7
2011,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,51.7
2012,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,55.1
2013,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,57.9
2014,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,60.3
2015,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,58.7
2016,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,63.0
2017,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,64.7
2018,percentage (%),a) time series,male,60 - 64 years,ni,Niedersachsen,65.3
2010,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,39.2
2011,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,42.1
2012,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,44.4
2013,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,47.1
2014,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,49.9
2015,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,50.6
2016,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,53.5
2017,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,55.7
2018,percentage (%),a) time series,male and female,60 - 64 years,nw,Nordrhein-Westfalen,57.2
2010,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,31.7
2011,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,33.7
2012,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,35.0
2013,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,38.6
2014,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,42.0
2015,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,44.2
2016,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,47.5
2017,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,50.0
2018,percentage (%),a) time series,female,60 - 64 years,nw,Nordrhein-Westfalen,51.9
2010,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,47.0
2011,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,51.1
2012,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,54.6
2013,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,56.4
2014,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,58.4
2015,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,57.6
2016,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,59.8
2017,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,61.6
2018,percentage (%),a) time series,male,60 - 64 years,nw,Nordrhein-Westfalen,62.9
2010,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,41.4
2011,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,43.7
2012,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,47.0
2013,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,50.6
2014,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,52.4
2015,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,52.4
2016,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,56.8
2017,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,58.6
2018,percentage (%),a) time series,male and female,60 - 64 years,rp,Rheinland-Pfalz,60.0
2010,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,30.7
2011,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,34.4
2012,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,37.3
2013,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,41.6
2014,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,43.3
2015,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,44.9
2016,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,52.4
2017,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,54.4
2018,percentage (%),a) time series,female,60 - 64 years,rp,Rheinland-Pfalz,55.5
2010,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,51.6
2011,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,53.0
2012,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,57.0
2013,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,59.7
2014,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,61.2
2015,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,59.9
2016,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,61.5
2017,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,63.1
2018,percentage (%),a) time series,male,60 - 64 years,rp,Rheinland-Pfalz,64.6
2010,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,37.3
2011,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,40.7
2012,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,42.4
2013,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,46.3
2014,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,45.3
2015,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,45.4
2016,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,52.9
2017,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,56.0
2018,percentage (%),a) time series,male and female,60 - 64 years,sl,Saarland,57.5
2010,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,28.9
2011,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,34.1
2012,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,33.5
2013,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,40.0
2014,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,40.6
2015,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,41.2
2016,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,49.2
2017,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,50.7
2018,percentage (%),a) time series,female,60 - 64 years,sl,Saarland,53.9
2010,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,44.7
2011,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,46.9
2012,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,51.3
2013,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,52.6
2014,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,50.4
2015,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,50.1
2016,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,56.7
2017,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,61.3
2018,percentage (%),a) time series,male,60 - 64 years,sl,Saarland,60.8
2010,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,38.7
2011,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,44.6
2012,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,44.7
2013,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,48.7
2014,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,52.1
2015,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,54.2
2016,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,54.7
2017,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,58.8
2018,percentage (%),a) time series,male and female,60 - 64 years,sn,Sachsen,59.0
2010,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,31.8
2011,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,39.2
2012,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,39.8
2013,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,45.2
2014,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,48.4
2015,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,49.8
2016,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,52.1
2017,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,55.3
2018,percentage (%),a) time series,female,60 - 64 years,sn,Sachsen,56.3
